Model,Repeat,Fold,Log loss,Brier,Macro AUC,Accuracy
B Demographics + Correct,6,5,1.007265005743757,0.6031431381000087,0.6076245692401959,0.5275540365243849
C Demographics + DK,6,5,0.9911522957029714,0.593899865369026,0.6248368654882578,0.5161504587210655
D Demographics + Incorrect,6,5,0.9886269013734379,0.5930218852311925,0.6221834207196023,0.5364761255357896
E Full composition (Correct + DK),6,5,0.9847698241600324,0.5903298537932384,0.629407297877035,0.5385756593950715
A Demographics,7,1,1.0440698392103542,0.6283837391538272,0.5712857019501533,0.5146919922848103
B Demographics + Correct,7,1,1.0438839345399855,0.6276629165795586,0.5745292448569977,0.5163063671148211
C Demographics + DK,7,1,1.0330036288697186,0.6208837162572823,0.5848027944570051,0.5091526473050138
D Demographics + Incorrect,7,1,1.0256903618462896,0.6167958321148029,0.5942300587225159,0.5030835380316453
E Full composition (Correct + DK),7,1,1.023814268343429,0.6150469104974791,0.5949841892128139,0.5014691632016347
A Demographics,7,2,0.9554532624856911,0.5685431688626192,0.6535209143760664,0.5403918491934097
B Demographics + Correct,7,2,0.9570817937576804,0.5687332993142212,0.6470281432995186,0.5403918491934097
C Demographics + DK,7,2,0.960875195337229,0.5727696967616981,0.6532663882169031,0.5419271761777102
D Demographics + Incorrect,7,2,0.9535509201888104,0.5688131027886766,0.6457895766195093,0.5656400487293411
E Full composition (Correct + DK),7,2,0.957661129119963,0.5711073585198506,0.6442545594583252,0.5679055538877806
A Demographics,7,3,0.9845297064691213,0.5864257064782239,0.6204739196192447,0.5365948386007964
B Demographics + Correct,7,3,0.9809622118276,0.5844865093700268,0.6313889890634542,0.5371975222479493
C Demographics + DK,7,3,0.9697129467998818,0.5776335418862064,0.6379972211089303,0.5419921707419156
D Demographics + Incorrect,7,3,0.9677180824451155,0.5763181542349055,0.6468174263891732,0.5438789097246757
E Full composition (Correct + DK),7,3,0.9614907741677007,0.5724058702322733,0.6542800161955651,0.5471802594423884
A Demographics,7,4,0.9710757140110955,0.5783027100454811,0.6325479311163439,0.5597735720226134
B Demographics + Correct,7,4,0.9685424671476223,0.5764048644562114,0.6443840266293662,0.5533511004027762
C Demographics + DK,7,4,0.9611108117662363,0.5708456427024936,0.6481091512632019,0.5549671302197327
D Demographics + Incorrect,7,4,0.9470309797140848,0.5620637960914294,0.6683183490630205,0.5562014260871649
E Full composition (Correct + DK),7,4,0.9455721600442529,0.5606155339769642,0.6719324958013159,0.5613124997618818
A Demographics,7,5,0.983356491610007,0.5825437973086753,0.6087639436364563,0.5402019690042148
B Demographics + Correct,7,5,0.9841594407209779,0.5833485656819891,0.6109276143967801,0.5469988472751072
C Demographics + DK,7,5,0.9778314078722653,0.5804774812199988,0.6147619052691492,0.52025906606987
D Demographics + Incorrect,7,5,0.9743777415754148,0.5764897224554144,0.6244790558146546,0.563002388842236
E Full composition (Correct + DK),7,5,0.9736733720502068,0.57748178294008,0.6238761621905785,0.5488151820208167
A Demographics,8,1,0.9757892081432906,0.5811656645344495,0.6258743245764684,0.5397946684656003
B Demographics + Correct,8,1,0.9698702843504718,0.5774810968019751,0.6430376654606991,0.5480254991163908
C Demographics + DK,8,1,0.962388374112741,0.5730766379739313,0.6409518320106008,0.5384610764014908
D Demographics + Incorrect,8,1,0.9505375351482611,0.5659109156490657,0.6548509760396924,0.5511792227813131
E Full composition (Correct + DK),8,1,0.9454933091481668,0.5628534656435622,0.6628959989238365,0.5560304374852411
A Demographics,8,2,1.011210681143167,0.6048681021267448,0.6046110498252071,0.5304157276142278
B Demographics + Correct,8,2,1.0102286280260915,0.6047850170409925,0.6090144594242967,0.5348694789303801
C Demographics + DK,8,2,1.011297951447433,0.6057681539604556,0.6088593828461208,0.5283871958910791
D Demographics + Incorrect,8,2,1.0198706727421651,0.6117348374749969,0.6048527104681978,0.5200399761335791
E Full composition (Correct + DK),8,2,1.0173786919215817,0.6108733523323083,0.6095782040001129,0.529232026300878
A Demographics,8,3,1.0083057472804298,0.6076252931235858,0.5992459921292069,0.5164977461845892
B Demographics + Correct,8,3,1.0097780776564076,0.6080900298618243,0.5977957122153618,0.5130755336129311
C Demographics + DK,8,3,0.9963384402333415,0.5987511549783603,0.616596615502551,0.5252431982903805
D Demographics + Incorrect,8,3,0.9879450122858913,0.5945920305408502,0.6257012627317265,0.5152464544985056
E Full composition (Correct + DK),8,3,0.9869437496648704,0.5930853061538145,0.6281893080979685,0.5193097550540788
A Demographics,8,4,0.95362957111754,0.567715717482494,0.6570651853045689,0.5632396156222413
B Demographics + Correct,8,4,0.9586468121004171,0.5704257312520646,0.6465575407631966,0.5653576870831258
C Demographics + DK,8,4,0.9477256488912499,0.5646235187357334,0.6608227987502819,0.540905712847224
D Demographics + Incorrect,8,4,0.942385816813211,0.5603716588983692,0.6640791560660873,0.5657616950962706
E Full composition (Correct + DK),8,4,0.9445583371432004,0.5619891527789926,0.6599137908599398,0.5536417469605838
A Demographics,8,5,0.9668508687273628,0.5720273872720928,0.6355984277985341,0.5465665962297297
B Demographics + Correct,8,5,0.9625223959282388,0.569278042699617,0.647393020297301,0.5476571638330066
C Demographics + DK,8,5,0.9583521588362516,0.5673883690957635,0.6492473279697749,0.5491787662690435
D Demographics + Incorrect,8,5,0.9427654959228987,0.5563382329098654,0.66617225537099,0.5728961156074648
E Full composition (Correct + DK),8,5,0.9408153263821635,0.5553701873129661,0.6723883204671383,0.5664584019503937
A Demographics,9,1,0.9526101037741133,0.5607980709002967,0.6449097666448735,0.5631352335205901
B Demographics + Correct,9,1,0.9524453975808701,0.5602161855568986,0.6488909136898986,0.5692024764942181
C Demographics + DK,9,1,0.9468325771206854,0.5582139942370993,0.6483021610613756,0.5471364503794198
D Demographics + Incorrect,9,1,0.9355290957980842,0.550083411032582,0.6575963041797914,0.5839185820009283
E Full composition (Correct + DK),9,1,0.9359596860725203,0.5507901998532574,0.6605918219623209,0.575451820157171
A Demographics,9,2,1.0119587461038806,0.6054275892999895,0.6014687825880989,0.5280912177293945
B Demographics + Correct,9,2,1.005220316199729,0.601425822703565,0.6189427522733144,0.5303497845347197
C Demographics + DK,9,2,1.015042479159032,0.6075766343879633,0.604167039734637,0.5260209649311501
D Demographics + Incorrect,9,2,1.0045333378726902,0.5999602268299051,0.6214111000991482,0.5264978759304989
E Full composition (Correct + DK),9,2,1.0037063784007747,0.5999738852599463,0.6273907042850405,0.5209609030073916
A Demographics,9,3,0.9707045448598981,0.5798600292698098,0.642742045726232,0.5283819591558507
B Demographics + Correct,9,3,0.9802557567549607,0.5874398302862355,0.6180583367685745,0.526205826691366
C Demographics + DK,9,3,0.9528654185413428,0.5663893715649593,0.6603124310084848,0.5421382762980417
D Demographics + Incorrect,9,3,0.9569816380207276,0.5709891126941014,0.6523988644888763,0.5397869693588602
E Full composition (Correct + DK),9,3,0.9562818993280827,0.5700229327153884,0.6478629161227977,0.5453148877574204
A Demographics,9,4,0.9988597803931809,0.5969005817462595,0.5996907363937425,0.5461552433862622
B Demographics + Correct,9,4,1.0005978644969837,0.5978142800666927,0.60685987140966,0.5461552433862622
C Demographics + DK,9,4,0.9859804656531638,0.5899035483413091,0.6190727128390497,0.5373209203033732
D Demographics + Incorrect,9,4,0.9757546440590855,0.5828247852018863,0.6352127129502175,0.5685671271760857
E Full composition (Correct + DK),9,4,0.9749381934212723,0.5826610596776756,0.6374103071329577,0.5653762943288653
A Demographics,9,5,1.0038576941258206,0.6017736916042158,0.602486333482806,0.5281981397138826
B Demographics + Correct,9,5,1.0008132466967965,0.5990116492340493,0.6157887820727681,0.5303758315873481
C Demographics + DK,9,5,1.004625336218755,0.6028274419807146,0.6033440613519138,0.5203946473119533
D Demographics + Incorrect,9,5,0.9910790481989881,0.5939222318970553,0.6294317292706498,0.5208818723187307
E Full composition (Correct + DK),9,5,0.9925520560223624,0.5947214069670332,0.6287748340422112,0.5266509312575134
A Demographics,10,1,0.9423910299982703,0.5602388732219328,0.6493982829160561,0.563645384661598
B Demographics + Correct,10,1,0.9400369978498302,0.5584839297944415,0.6591744089267392,0.560388863666498
C Demographics + DK,10,1,0.9380579078273974,0.5573974368383618,0.6585682625126649,0.5576078009262655
D Demographics + Incorrect,10,1,0.9279047977122797,0.5510779682319488,0.6742580281206171,0.5715971557913944
E Full composition (Correct + DK),10,1,0.9274598190037598,0.5508264638153244,0.6733245248334199,0.5741384265270892
A Demographics,10,2,0.9996502345746122,0.5985393586320003,0.6131859333244275,0.5356667277020685
B Demographics + Correct,10,2,0.9942913638054331,0.5954545702031669,0.6291014376667134,0.5357475003512021
C Demographics + DK,10,2,0.9969049400313531,0.5975051234209084,0.6116926268056303,0.5190182408182734
D Demographics + Incorrect,10,2,0.9919680710791512,0.5938739134956347,0.6198392930528023,0.5225999071424807
E Full composition (Correct + DK),10,2,0.989130591912246,0.5925096153980475,0.6248854820619568,0.522761452440748
A Demographics,10,3,1.037001713967091,0.6245413037610705,0.578943191860995,0.4945674777456253
B Demographics + Correct,10,3,1.0343342104009572,0.6226510686072771,0.5862416366048532,0.49236004628971053
C Demographics + DK,10,3,1.0318755581736887,0.6228796516001898,0.5892747379802934,0.4929331259373729
D Demographics + Incorrect,10,3,1.019038403076742,0.6140702220914667,0.6137102807777626,0.5033326809283405
E Full composition (Correct + DK),10,3,1.0187504566744883,0.6145921324380677,0.6136277133146197,0.49740775275947413
A Demographics,10,4,0.9610391065760807,0.5690642446892309,0.6361477284295275,0.555697407207612
B Demographics + Correct,10,4,0.9609781483542355,0.5689571305128355,0.6355191382364033,0.5605343240080615
C Demographics + DK,10,4,0.954273841700004,0.5648742895539274,0.645576544804423,0.5604636996102658
D Demographics + Incorrect,10,4,0.9508191800280504,0.5640308510318552,0.6445773491211457,0.5752288958896186
E Full composition (Correct + DK),10,4,0.9490778961535573,0.5624093794114222,0.6493308665039212,0.580201590337654
A Demographics,10,5,1.0021937851385423,0.597323031958141,0.6040821362375337,0.5417640033224467
B Demographics + Correct,10,5,1.0030499962327017,0.5980176048356648,0.6059036884996573,0.5521845571985219
C Demographics + DK,10,5,0.9845411894743622,0.5857870334206065,0.6223599994596891,0.5320706742776595
D Demographics + Incorrect,10,5,0.976317089060142,0.5799689086124239,0.6337711137670347,0.5515087742958699
E Full composition (Correct + DK),10,5,0.9729422173445662,0.5779857059900813,0.636547337705868,0.5530678672733138
